DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2021-09-10	33762635	Martinez-Magana JJ	2021-03-24	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/33762635	Genome-wide association study of psychiatric and substance use comorbidity in Mexican individuals.	Psychiatric symptomatology and risky substance use	604 Mexican ancestry cases, 1,487 Mexican ancestry controls	NA	13q32.2	13	98217088		FARP1			ENSG00000152767			rs4238213-T	rs4238213	0	4238213	intron_variant	0	0.4436	4E-6	5.3979400086720375		1.42	[1.22-1.65]	Illumina [248101]	N	mental or behavioural disorder, substance abuse	http://www.ebi.ac.uk/efo/EFO_0000677, http://purl.obolibrary.org/obo/MONDO_0002491	GCST90027271	Genome-wide genotyping array
2019-08-13	31209380	Demontis D	2019-06-17	Nat Neurosci	www.ncbi.nlm.nih.gov/pubmed/31209380	Genome-wide association study implicates CHRNA2 in cannabis use disorder.	Cannabis use disorder	2,387 Danish ancestry cases, 48,985 Danish ancestry controls	5,501 Icelandic ancestry cases, 301,041 Icelandic ancestry controls	8p21.1	8	27578983	CHRNA2	GULOP			ENSG00000234770			rs56372821-G	rs56372821	0	56372821	intron_variant	0	0.856	9E-12	11.045757490560675		1.25	[NR]	Illumina [8969939] (imputed)	N	cannabis dependence, substance abuse	http://www.ebi.ac.uk/efo/EFO_0007191, http://purl.obolibrary.org/obo/MONDO_0002491	GCST008414	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	2p23.1	2	31241000		EHD3			ENSG00000013016			rs632964-?	rs632964	0	632964	intron_variant	0	0.2823	4E-9	8.397940008672037		0.003068	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	19q13.32	19	44908822		APOE			ENSG00000130203			rs7412-?	rs7412	0	7412	missense_variant	0	0.08109	2E-35	34.69897000433602		0.01069	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	9p24.1	9	4763176		AK3 - ECM1P1	ENSG00000147853	ENSG00000270639		21133	5441	rs385893-?	rs385893	0	385893	downstream_gene_variant	1	0.4732	3E-22	21.522878745280337		0.004575	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	3p14.3	3	56831417		ARHGEF3			ENSG00000163947			rs11925835-?	rs11925835	0	11925835	intron_variant	0	0.4238	6E-22	21.221848749616356		0.00462	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	19p13.2	19	11091630		LDLR			ENSG00000130164			rs6511720-?	rs6511720	0	6511720	intron_variant	0	0.1189	1E-19	19.0		0.006662	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	6p21.31	6	33567103		GGNBP1			ENSG00000204188			rs6914422-?	rs6914422	0	6914422	intron_variant	0	0.2607	5E-19	18.30102999566398		0.004826	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	6p21.31	6	33570484		GGNBP1			ENSG00000204188			rs9380371-?	rs9380371	0	9380371	intron_variant	0	0.2569	5E-19	18.30102999566398		0.004868	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	9p24.1	9	4774830		ECM1P1 - RCL1	ENSG00000270639	ENSG00000120158		4935	18114	rs35954307-?	rs35954307	0	35954307	intergenic_variant	1	0.2233	2E-16	15.698970004336019		0.004677	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	1q44	1	247559286		GCSAML			ENSG00000169224			rs74227709-?	rs74227709	0	74227709	intron_variant	0	0.07169	5E-15	14.301029995663981		0.007037	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	6q23.3	6	135106021		HBS1L - MYB	ENSG00000112339	ENSG00000118513		2965	75287	rs9389269-?	rs9389269	0	9389269	intergenic_variant	1	0.2729	7E-15	14.154901959985743		0.004111	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	6q23.3	6	135097901		HBS1L			ENSG00000112339			rs56293029-?	rs56293029	0	56293029	intron_variant	0	0.2526	1E-14	14.0		0.004226	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	10q21.3	10	63288546		JMJD1C			ENSG00000171988			rs7080386-?	rs7080386	0	7080386	intron_variant	0	0.4138	5E-14	13.301029995663981		0.00361	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	10q21.3	10	63267850		JMJD1C			ENSG00000171988			rs10761731-?	rs10761731	0	10761731	intron_variant	0	0.4169	2E-13	12.698970004336019		0.003541	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	6p21.31	6	33599327		LINC00336 - ITPR3	ENSG00000197251	ENSG00000096433		5989	21038	rs576166-?	rs576166	0	576166	regulatory_region_variant	1	0.1827	7E-13	12.154901959985743		0.004462	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	19p13.12	19	16095202		TPM4			ENSG00000167460			rs57843631-?	rs57843631	0	57843631	intron_variant	0	0.0166	1E-12	12.0		0.01293	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	19p13.11	19	19296909		SUGP1			ENSG00000105705			rs10401969-?	rs10401969	0	10401969	intron_variant	0	0.07674	9E-6	5.045757490560675		0.003977	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	19p13.12	19	16092494		TPM4			ENSG00000167460			rs73517714-?	rs73517714	0	73517714	intron_variant	0	0.01675	3E-12	11.522878745280337		0.01258	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	1p13.3	1	109274242		CELSR2			ENSG00000143126			rs552693039-?	rs552693039	0	552693039	3_prime_UTR_variant	0	0.181	4E-12	11.397940008672037		0.004251	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	1p32.3	1	55039974		PCSK9			ENSG00000169174			rs11591147-?	rs11591147	0	11591147	missense_variant	0	0.01754	8E-12	11.096910013008056		0.01217	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	7q22.3	7	106698018		CCDC71L - LINC02577	ENSG00000253276	ENSG00000228742		36860	76937	rs386805-?	rs386805	0	386805	intron_variant	1	0.4492	2E-11	10.698970004336019		0.003227	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	4q13.2	4	68507689		TMPRSS11E - UGT2B29P	ENSG00000274058	ENSG00000281547		10085	1752	rs9884390-?	rs9884390	0	9884390	downstream_gene_variant	1	0.233	2E-11	10.698970004336019		0.003795	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	11p15.5	11	270715		PSMD13 - NLRP6	ENSG00000185627	ENSG00000174885		17731	7692	rs17655730-?	rs17655730	0	17655730	intergenic_variant	1	0.2453	3E-10	9.522878745280337		0.003468	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	17q11.2	17	29458111		TAOK1			ENSG00000160551			rs59723374-?	rs59723374	0	59723374	intron_variant	0	0.4926	3E-9	8.522878745280337		0.002853	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	12q24.31	12	121927677		CFAP251			ENSG00000158023			rs7961894-?	rs7961894	0	7961894	intron_variant	0	0.1154	3E-9	8.522878745280337		0.004352	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	5q13.3	5	75328657		ANKRD31 - HMGCR	ENSG00000145700	ENSG00000113161		91746	7672	rs3843480-?	rs3843480	0	3843480	intron_variant	1	0.3748	4E-9	8.397940008672037		0.002858	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	22q11.23	22	24601119		GGT1			ENSG00000100031			rs2006094-?	rs2006094	0	2006094	intron_variant	0	0.3523	1E-39	39.0		0.006488	unit increase	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	17q11.2	17	29536688		TAOK1			ENSG00000160551			rs12943131-?	rs12943131	0	12943131	intron_variant	0	0.4826	4E-9	8.397940008672037		0.002763	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	1q24.3	1	171970150		DNM3			ENSG00000197959			rs2038479-?	rs2038479	0	2038479	5_prime_UTR_variant	0	0.195	5E-9	8.301029995663981		0.003542	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA											22:18450196_TCA_T-?	22:18450196_TCA_T	0			1	0.2343	6E-9	8.221848749616356		0.003271	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
2020-11-26	32561361	Innes H	2020-06-16	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/32561361	Genome-wide Association Study for Alcohol-related Cirrhosis Identifies Risk Loci in MARC1 and HNRNPUL1.	Forns index in high alcohol intake	33,437 British ancestry individuals	NA	1q24.3	1	171973643		DNM3			ENSG00000197959			rs6425521-?	rs6425521	0	6425521	intron_variant	0	0.1966	7E-9	8.154901959985743		0.00348	unit decrease	NR [6200000] (imputed)	N	liver fibrosis measurement	http://www.ebi.ac.uk/efo/EFO_0010576	GCST90011734	Genome-wide genotyping array
