riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs2243517-C	4E-8	-	NR	1.035	-	NR	OBI1-AS1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	13:78330662	30478444	"Demontis D"
rs56135409-C	5E-8	-	NR	1.0309278	-	NR	SGO1-AS1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	3:20683524	30478444	"Demontis D"
rs4916723-C	7E-7	-	NR	1.025	-	NR	LINC00461	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	5:88558577	30478444	"Demontis D"
rs74760947-G	5E-6	-	NR	1.004	-	NR	RPL10AP3,LINC01288	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	8:34495092	30478444	"Demontis D"
rs2391769-A	5E-7	-	NR	1.013	-	NR	RN7SL831P,EEF1A1P11	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	1:96513405	30478444	"Demontis D"
rs4858241-T	1E-6	-	NR	1.017294	-	NR	SGO1-AS1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	3:20627579	30478444	"Demontis D"
rs1427829-A	7E-9	-	NR	1.021	-	NR	DUSP6,POC1B	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	12:89366967	30478444	"Demontis D"
rs28452470-A	3E-6	-	NR	1.042	-	NR	FEZF1,CADPS2	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	7:122317528	30478444	"Demontis D"
rs5886709-G	4E-10	-	NR	1.049	-	NR	FOXP2	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	7:114446079	30478444	"Demontis D"
rs1592757-C	1E-9	-	NR	1.062	-	NR	RNU6-334P,LINC02163	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	5:104554297	30478444	"Demontis D"
rs10956838-A	1E-6	-	NR	1.0626992	-	NR	RUNX1T1,FLJ46284	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	8:92392214	30478444	"Demontis D"
rs3001723-A	1E-8	-	NR	1.075	-	NR	PTPRF	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	1:43572014	30478444	"Demontis D"
rs4275621-A	3E-9	-	NR	1.081081	-	NR	LINC02758	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	11:28631449	30478444	"Demontis D"
rs183882582-T	2E-8	-	0.98	1.43	-	[1.26-1.60]	RNU6-293P,RSPH3	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST010291	6:158963192	32279069	"Rovira P"
rs3958046-T	2E-8	-	0.4	1.09	-	[1.06-1.10]	CADPS2,FEZF1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST010291	7:122315274	32279069	"Rovira P"
rs200721207-T	4E-8	-	0.66	1.1	-	[1.06-1.13]	PCDH7,LINC02497	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST010291	4:31149844	32279069	"Rovira P"
rs1920644-T	5E-8	-	0.52	1.09	-	[1.05-1.12]	RPL6P8,ARL14	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST010291	3:160595566	32279069	"Rovira P"
rs4858241-T	5E-7	-	NR	1.08	-	[1.05-1.12]	SGO1-AS1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST010291	3:20627579	32279069	"Rovira P"
rs1427829-A	6E-7	-	NR	1.08	-	[1.05-1.11]	DUSP6,POC1B	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST010291	12:89366967	32279069	"Rovira P"
rs281324-?	7E-7	-	NR	1.0752687	-	[1.04-1.11]	SEMA6D	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST010291	15:47461821	32279069	"Rovira P"
rs28768443-?	6E-7	-	0.81	1.1494253	-	[1.09-1.22]	-	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	14:29285390	32279069	"Rovira P"
rs3923931-A	2E-7	-	0.11	1.2	-	[1.12-1.28]	CNBD1	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	8:87401743	32279069	"Rovira P"
rs10962864-T	5E-7	-	0.16	1.16	-	[1.09-1.23]	RPS29P33,RN7SL720P	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	9:17091466	32279069	"Rovira P"
rs4836899-T	3E-7	-	0.52	1.12	-	[1.07-1.17]	ASTN2	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	9:116894150	32279069	"Rovira P"
rs74030106-?	2E-6	-	0.05	1.2820514	-	[1.16-1.43]	TMC3-AS1	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	15:81525290	32279069	"Rovira P"
rs113773212-?	2E-6	-	0.05	1.2820514	-	[1.16-1.41]	LINC00917	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	16:86361158	32279069	"Rovira P"
rs57422381-?	3E-6	-	0.07	1.2195122	-	[1.12-1.33]	LINC00456,MBNL2	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	13:97205239	32279069	"Rovira P"
rs35835615-?	1E-6	-	0.09	1.2048193	-	[1.11-1.3]	SPCS2P2,ERLIN1	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	10:100145181	32279069	"Rovira P"
rs75311156-?	4E-6	-	0.82	1.1627907	-	[1.09-1.23]	OR5H3P,OR5H5P	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	3:98198801	32279069	"Rovira P"
rs2832008-?	4E-6	-	0.14	1.1494253	-	[1.09-1.23]	U6	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	21:28737676	32279069	"Rovira P"
rs876538-?	2E-6	-	0.79	1.1363636	-	[1.09-1.2]	CRPP1,CRP	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	1:159705927	32279069	"Rovira P"
rs296884-?	1E-6	-	0.74	1.1235955	-	[1.08-1.19]	HNRNPK,C9orf64	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	9:83968008	32279069	"Rovira P"
rs145190003-?	3E-6	-	0.26	1.1235955	-	[1.06-1.18]	CNTLN	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	9:17263750	32279069	"Rovira P"
rs9661242-?	2E-6	-	0.48	1.1111112	-	[1.06-1.16]	-	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	1:29615908	32279069	"Rovira P"
rs393488-?	3E-6	-	0.53	1.1111112	-	[1.06-1.16]	BNC2,RN7SL720P	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	9:17044973	32279069	"Rovira P"
rs6540899-A	2E-6	-	0.12	1.21	-	[1.12-1.31]	KCTD3	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	1:215479116	32279069	"Rovira P"
rs13019774-T	1E-6	-	0.39	1.12	-	[1.07-1.17]	GALNT13,RNA5SP107	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	2:154505440	32279069	"Rovira P"
rs13088735-T	3E-6	-	0.02	1.48	-	[1.25-1.75]	LMCD1-AS1	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	3:8123815	32279069	"Rovira P"
rs895614-A	4E-6	-	0.29	1.13	-	[1.07-1.19]	RNU6-276P	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	4:55792612	32279069	"Rovira P"
rs34846424-T	4E-6	-	0.36	1.11	-	[1.06-1.16]	LINC02374	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	4:187244864	32279069	"Rovira P"
rs35854754-CT	3E-6	-	0.94	1.27	-	[1.15-1.40]	-	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	6:91356930	32279069	"Rovira P"
rs6475111-T	5E-6	-	0.26	1.13	-	[1.07-1.18]	CNTLN	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	9:17162415	32279069	"Rovira P"
rs1537617-A	2E-6	-	0.84	1.17	-	[1.10-1.25]	-	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	10:2740611	32279069	"Rovira P"
rs55654452-G	2E-6	-	0.56	1.11	-	[1.06-1.16]	ZNF521	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	18:25064312	32279069	"Rovira P"
rs35782676-T	4E-6	-	0.77	1.13	-	[1.07-1.19]	ZNF584	"Attention deficit hyperactivity disorder (persistent)"	"attention deficit hyperactivity disorder"	-	GCST010290	19:58414978	32279069	"Rovira P"
rs138596453-?	6E-7	-	0.98	1.4925373	-	[1.27-1.75]	GAB4	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST010289	22:17006586	32279069	"Rovira P"
rs1610098-?	8E-7	-	0.37	1.1111112	-	[1.06-1.15]	SEMA6D	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST010289	15:47513815	32279069	"Rovira P"
rs191624305-T	2E-7	-	0.9	1.21	-	[1.13-1.30]	TNR	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST010289	1:175353170	32279069	"Rovira P"
rs55686778-T	2E-7	-	0.19	1.15	-	[1.09-1.21]	TMEM114	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST010289	16:8458589	32279069	"Rovira P"
rs11255938-?	2E-6	-	0.54	1.098901	-	[1.06-1.15]	LINC02676	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST010289	10:8808772	32279069	"Rovira P"
rs79221481-T	3E-6	-	0.03	1.39	-	[1.21-1.60]	EPCAM-DT	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST010289	2:47277861	32279069	"Rovira P"
rs795989-A	2E-6	-	0.68	1.11	-	[1.07-1.17]	MAML3	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST010289	4:139808192	32279069	"Rovira P"
rs526318-T	3E-6	-	0.54	1.1	-	[1.06-1.15]	RNA5SP214	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST010289	6:117070716	32279069	"Rovira P"
rs536749404-T	3E-6	-	0.14	1.17	-	[1.10-1.25]	-	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST010289	8:13806960	32279069	"Rovira P"
rs1858800-T	1E-6	-	0.35	1.12	-	[1.07-1.17]	ZFHX3	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST010289	16:72990377	32279069	"Rovira P"
rs117354149-C	3E-6	-	0.085	-	-	-	SETD5	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010221	3:9464601	32595297	"Kweon K"
rs9513794-T	8E-6	-	0.326	-	-	-	NALCN-AS1	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010221	13:100749970	32595297	"Kweon K"
rs61913097-C	3E-6	-	0.182	-	-	-	ERC1	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010220	12:1340033	32595297	"Kweon K"
rs11917999-G	4E-6	-	0.222	-	-	-	SOX2-OT	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010220	3:181538459	32595297	"Kweon K"
rs117059665-T	5E-6	-	0.048	-	-	-	FGFR2	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010220	10:121570923	32595297	"Kweon K"
rs609728-T	6E-6	-	0.164	-	-	-	ANO4	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010220	12:100981868	32595297	"Kweon K"
rs74490514-T	9E-6	-	0.038	-	-	-	LINC01208,MTND5P15	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010220	3:176923607	32595297	"Kweon K"
rs6699651-T	8E-7	-	0.106	-	-	-	CAMTA1	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	1:7592327	32595297	"Kweon K"
rs2817619-T	6E-7	-	0.442	-	-	-	LINC01647,DISP3	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	1:11543006	32595297	"Kweon K"
rs214220-C	1E-6	-	0.5	-	-	-	SKINT1L	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	1:48156510	32595297	"Kweon K"
rs10800919-C	4E-7	-	0.371	-	-	-	FMOD,LARP7P1	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	1:203367680	32595297	"Kweon K"
rs11119570-A	1E-7	-	0.396	-	-	-	IL19	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	1:206794890	32595297	"Kweon K"
rs16823921-G	6E-7	-	0.333	-	-	-	LINC01412,TEX41	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	2:144618549	32595297	"Kweon K"
rs7684645-A	1E-8	-	0.387	-	-	-	SMIM31,APELA	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	4:164874994	32595297	"Kweon K"
rs3116816-A	2E-7	-	0.398	-	-	-	OR2J4P	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	6:29181665	32595297	"Kweon K"
rs6796-C	3E-7	-	0.491	-	-	-	DAGLB,KDELR2	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	7:6462736	32595297	"Kweon K"
rs12538843-A	2E-8	-	0.287	-	-	-	YAE1,POU6F2	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	7:39560498	32595297	"Kweon K"
rs6954881-G	2E-7	-	0.472	-	-	-	CCNJP1,RNU6-1335P	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	7:56302123	32595297	"Kweon K"
rs10868138-C	7E-7	-	0.093	-	-	-	SLC28A3	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	9:84302386	32595297	"Kweon K"
rs74120710-T	3E-7	-	0.157	-	-	-	CAMK1D,CCDC3	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	10:12895634	32595297	"Kweon K"
rs4945333-G	9E-7	-	0.245	-	-	-	TENM4	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	11:79209774	32595297	"Kweon K"
rs9316596-A	8E-7	-	0.343	-	-	-	LINC00424	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	13:21895101	32595297	"Kweon K"
rs1239704-G	8E-8	-	0.324	-	-	-	DLEU1,DLEU7	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	13:50578475	32595297	"Kweon K"
rs11074258-C	4E-8	-	0.17	-	-	-	MCTP2,H3P40	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	15:94227570	32595297	"Kweon K"
rs34396552-G	5E-8	-	0.359	-	-	-	RNU6-170P,CIDEA	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	18:12286114	32595297	"Kweon K"
rs35493881-?	8E-8	-	0.359	-	-	-	RN7SL795P,RPS2P6	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	18:70486327	32595297	"Kweon K"
rs6073330-A	3E-7	-	0.481	-	-	-	JPH2	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	20:44108854	32595297	"Kweon K"
rs62214554-G	3E-7	-	0.25	-	-	-	CYP24A1,PFDN4	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	20:54190723	32595297	"Kweon K"
rs6015071-A	2E-7	-	0.274	-	-	-	NKILA,LINC01742	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010219	20:57739583	32595297	"Kweon K"
rs9464011-C	7E-7	-	0.102	-	-	-	MLIP-AS1,MLIP-IT1,MLIP	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST010218	6:54001468	32595297	"Kweon K"
rs34442475-C	2E-6	-	0.412	2.3	-	[1.41-3.78]	UBBP1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST010222	2:136306815	32595297	"Kweon K"
rs2238652-T	3E-6	-	0.289	4.79	-	[2.28-10.0]	UPF1,COMP	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST010222	19:18831750	32595297	"Kweon K"
rs2015560-?	2E-6	-	NR	2.7808676	-	[1.83-4.23]	-	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST006916	21:24656576	30563984	"Hawi Z"
rs6686722-?	3E-8	-	NR	2.399808	-	[1.76-3.27]	TNR	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST006916	1:175764827	30563984	"Hawi Z"
rs28609353-?	4E-6	-	NR	2.1285653	-	[1.55-2.93]	TRIM51	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST006916	11:55884182	30563984	"Hawi Z"
rs61975260-?	6E-7	-	NR	2.0242915	-	[1.53-2.67]	SPATA7	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST006916	14:88429597	30563984	"Hawi Z"
rs2410116-?	4E-7	-	NR	2.0036066	-	[1.53-2.62]	-	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST006916	8:13815938	30563984	"Hawi Z"
rs4778174-?	1E-6	-	NR	1.8681113	-	[1.45-2.4]	OCA2	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST006916	15:27724420	30563984	"Hawi Z"
rs28612433-?	1E-6	-	NR	1.8570102	-	[1.45-2.38]	PI4K2B	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST006916	4:25262751	30563984	"Hawi Z"
rs4673294-?	5E-6	-	NR	1.8308313	-	[1.41-2.38]	DSTNP5	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST006916	2:204324360	30563984	"Hawi Z"
rs35624673-?	2E-6	-	NR	1.819174	-	[1.42-2.33]	FBN3	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST006916	19:8069732	30563984	"Hawi Z"
rs9545903-C	7E-6	-	NR	1.747	-	[1.37-2.228]	-	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST006916	13:81872778	30563984	"Hawi Z"
